Unnamed: 0,Name,Block,Reactor,Status,Net performance MW,Gross performance MW,Commissioning (planned),Shutdown (planned),Sleepment [11] (TWH),country,lat,lon,decommission_year,commission_year
90,Dampierre,4,Druckwasserreaktor,In Betrieb,890.0,937,18.08.1981,(15.11.2021),191.93,France,47.73361111,2.5175,2035,1981.0
91,Fessenheim,1,Druckwasserreaktor,Stillgelegt,880.0,920,06.04.1977,20.02.2020  [17],201.62,France,47.90361111,7.5625,2020,1977.0
92,Fessenheim,2,Druckwasserreaktor,Stillgelegt,880.0,920,07.10.1977,30.06.2020  [18],202.42,France,47.90361111,7.5625,2020,1977.0
93,Flamanville,1,Druckwasserreaktor,In Betrieb,1330.0,1382,04.12.1985,(14.12.2026),239.83,France,47.90361111,7.5625,2026,1985.0
94,Flamanville,2,Druckwasserreaktor,In Betrieb,1330.0,1382,18.07.1986,(15.03.2027),242.1,France,47.90361111,7.5625,2027,1986.0
95,Flamanville,3,EPR (DWR),In Bau  seit 2007,1.6,1.65,-  [19],–,–,France,47.90361111,7.5625,2051,
96,Golfech,1,Druckwasserreaktor,In Betrieb,1310.0,1363,07.06.1990,(15.02.2031),220.99,France,44.11111111,0.840277778,2031,1990.0
97,Golfech,2,Druckwasserreaktor,In Betrieb,1310.0,1363,18.06.1993,(14.01.2034),192.79,France,44.11111111,0.840277778,2034,1993.0
98,Gravelines,1,Druckwasserreaktor,In Betrieb,910.0,951,13.03.1980,(15.12.2020)  [veraltet],197.5,France,51.01361111,2.136111111,2028,1980.0
99,Gravelines,2,Druckwasserreaktor,In Betrieb,910.0,951,26.08.1980,(15.12.2020)  [veraltet],205.54,France,51.01361111,2.136111111,2028,1980.0
100,Gravelines,3,Druckwasserreaktor,In Betrieb,910.0,951,12.12.1980,(15.06.2021)  [veraltet],204.83,France,51.01361111,2.136111111,2028,1980.0
101,Gravelines,4,Druckwasserreaktor,In Betrieb,910.0,951,14.06.1981,(14.10.2021),206.62,France,51.01361111,2.136111111,2028,1981.0
