Boiler_Model_Type,GEO_Assigned_Identification_Number,Chimney_Height_m_nbr,Capacity_MWe_nbr,Date_Commissioned_dt,Turbine_Manufacturer,Boiler_Manufacturer,Generator_Manufacturer,Unit_Nbr,Turbine_Model_Type,Decommission_Date_dt,Unit_Efficiency_Percent_nbr,Generator_Model_Type,Control_NOx_yr,Control_SOx_yr,Control_PM_yr,Control_Hg_yr,Control_N2O_yr,Boiler_HRSG_Manufacturer,Unit_Efficiency_Percent,Chimney_Height_nbr,Boiler_HRSG_Model_Type,Diesel_Engine_Boiler_Manufacturer,Diesel_Engine_Boiler_Model_Type,Hydraulic_Head_m_nbr,Speed_RPM_nbr,Injection_Wells_nbr,Production_Wells_nbr,Pipe_Network_Length_km_nbr,Reactor_Manufacturer,Reactor_Type_Model,IAEA_ID,Construction_Start_Date_dt,Generator_Type_Model,Turbine_Type_Model,Panel_Manufacturer,Invertor_Manufacturer,Panel_Type_Model,Invertor_Type_Model,Number_Of_Panels_nbr,Storage_Backup_System,Solar_to_Electric_Efficiency_Percent_nbr,HCE_Manufacturer,Number_Of_Turbines_nbr,Rotor_Diameter_m_nbr,Peak_MWe_per_Turbine_nbr,Hub_Height_m_nbr,Max_Production_at_wind_speed_m_sec_nbr,Turbine_Model,Capacity_Factor_Percent_nbr
,43168,,60,1963-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43168,,60,1963-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43168,,60,1963-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43168,,60,1963-00-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43141,260,560,1985-00-00,"Kraftwerk Union (KWU), Siemens",International Combustion Ltd,Siemens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43141,260,535,1986-00-00,Brown Boveri and Cie (BBC),International Combustion Ltd,Brown Boveri and Cie (BBC) Switzerland,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43141,260,560,1986-00-00,"Kraftwerk Union (KWU), Siemens",International Combustion Ltd,Siemens,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43141,260,560,1987-00-00,"Kraftwerk Union (KWU), Siemens",International Combustion Ltd,Siemens,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43142,,500,1993-00-00,Hitachi Japan,International Combustion Ltd,Hitachi Japan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43142,,500,1996-00-00,Hitachi Japan,Transfield,Hitachi Japan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1964-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1965-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1966-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1967-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1968-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1969-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1971-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43143,,200,1971-00-00,General Electric Company (GEC),Babcock Power,C. A. Parsons,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43144,,360,1974-08-00,Toshiba,,Toshiba,1,ST-1 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43144,,360,1975-09-00,Toshiba,,Toshiba,2,ST-2 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43144,,380,1980-12-00,Toshiba,,Toshiba,3,ST-3 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
